id,user_prompt,expected_tool_calls,actual_tool_calls,missing_tool_calls,expected_final_contains,missing_final_substrings,passed,final_response_preview,dataset,provider,model
search-concepts-compression,I want a challenge about Huffman coding and file compression. Search the challenge data before answering.,search_challenges,read_file,search_challenges,compression,,False,"Here’s the **Build Your Own Compression Tool** challenge, which focuses on Huffman coding and file compression.  **Challenge:** *Build Your Own Compression Tool*   **ID:** 3   **Difficulty:** Intermediate   **Skills Covered:** Data structures, algorithms, binary I/O, Huffman coding   **Description:** Build a compression tool using Huffman coding to compress and decompress files.    You can find the full details at: https://codingchallenges.fyi/challenges/challenge-huffman",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-concepts-recursive-dns,Find the challenge where I implement recursive DNS lookups over UDP. Use the available search tool first.,search_challenges,search_challenges;read_file,,DNS,,True,"The challenge you’re looking for is **“Build Your Own DNS Resolver.”** It covers implementing recursive DNS lookups over UDP, handling packet construction, binary parsing, and the full resolution process.",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-concepts-bloom-spellcheck,Which Coding Challenge teaches a probabilistic data structure for fast spell checking? Use a tool to look it up.,search_challenges,search_challenges,,Bloom,,True,"The challenge you’re looking for is **“Build Your Own Spell Checker Using A Bloom Filter”** (challenge 053). It teaches how to implement a probabilistic data structure—a Bloom filter—to perform fast, memory‑efficient spell checking.",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-alias-container-runtime,"Search for the challenge about namespaces, cgroups, chroot, and pulling images from Docker Hub.",search_challenges,search_challenges;read_file,,Docker,,True,"The challenge you’re looking for is **“Build Your Own Docker.”** It’s an intermediate‑level project that covers exactly the topics you mentioned—Linux namespaces, cgroups, `chroot`, and pulling images from Docker Hub.",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-redis-server,"There seem to be Redis-related challenges. Use search and tell me which one is about building the server itself, not the CLI client.",search_challenges,search_challenges,,Redis Server,,True,"The Redis‑related challenges are:  | Path | Title | Focus | |------|-------|-------| | **008‑challenge‑redis.md** | **Build Your Own Redis Server** | Implements the Redis server itself (network protocol, data structures, concurrency, persistence, etc.). | | 037‑challenge‑redis‑cli.md | Build Your Own Redis CLI Tool | Implements a command‑line client that talks to an existing Redis server.  So the challenge that is about building **the server** (not the client) is **“Build Your Own Redis Server”*",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-dns-forwarder-vs-resolver,"Use the search tool to distinguish the DNS resolver challenge from the DNS forwarder challenge, and tell me which one recursively resolves names.",search_challenges,search_challenges,,resolver,,True,"**DNS Resolver (challenge 022)** – This challenge asks you to implement a full DNS resolver. A resolver is responsible for performing the *recursive* lookup process: it starts with the root servers, follows delegations to TLD servers, then to authoritative name servers, assembling the final answer for the client.  **DNS Forwarder (challenge 044)** – A forwarder merely receives DNS queries from a client and forwards them to an upstream DNS server (or a set of upstream servers), returning whatever",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-json-jq,I do not want jq; I want the challenge about parsing JSON from scratch. Search the challenge files before replying.,search_challenges,search_challenges;read_file,,JSON Parser,,True,"Here’s the **“Build Your Own JSON Parser”** challenge you asked for:  ---  ### Build Your Own JSON Parser   **Difficulty:** Intermediate   **URL:** https://codingchallenges.fyi/challenges/challenge-json-parser    **Skills Developed** - Lexical analysis   - Syntactic parsing   - Abstract syntax trees (AST)   - Test‑driven development    **Description**   Create a JSON parser from scratch. You’ll learn the fundamentals of tokenising input, building a grammar, parsing JSON structures, and construct",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-cut,Read 004-challenge-cut.md with the tool and summarize what the cut clone needs to support.,read_file,read_file;read_file;fetch_url;fetch_url,,cut,,True,"**Cut‑clone requirements (as defined in the “Build Your Own cut Tool” challenge)**    | Feature | What the implementation must do | |---------|---------------------------------| | **Basic column extraction** | Accept a *list of byte, character, or field numbers* (`‑b`, `‑c` or `‑f`). For each input line output only the specified columns, preserving the order in which they were given. | | **Field‑based mode** | When `‑f` is used the tool must split each line into fields using a *delimiter* (defau",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-load-balancer,Use read_file on 005-challenge-load-balancer.md and tell me the main behavior I need to implement.,read_file,read_file,,load balancer,,True,"The core behavior you need to implement for the **Load Balancer** challenge is:  - **Layer 7 HTTP load balancer** that accepts incoming HTTP requests and forwards them to a pool of backend servers. - **Round‑robin scheduling** to distribute each new request to the next backend in the list. - **Health‑checking** of backends (periodic probes) so that unhealthy servers are removed from the rotation and healthy ones are re‑added.  In short, your program must listen for HTTP traffic, route each reque",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-git,Open 026-challenge-git.md using the available file-reading tool and summarize the core Git features required.,read_file,read_file,,git,,True,"**Core Git functionality you need to implement**  1. **Repository Initialization** – Create a `.git` directory with the required sub‑folders (objects, refs, HEAD, config, etc.) and set up the initial empty repository structure.  2. **Staging Area (Index)** – Maintain an index file that records the paths and SHA‑1 hashes of files that have been added (`git add`).      * Detect file changes, deletions and additions.      * Update the index accordingly.  3. **Commit Creation** –      * Compute SHA‑",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-yaml,"Read the YAML parser challenge file, 067-challenge-yaml.md, before explaining what I would build.",read_file,read_file,,YAML,,True,"Here’s a quick summary of the **Build Your Own YAML Parser** challenge (067‑challenge‑yaml.md):  | Item | Details | |------|---------| | **ID / Title** | 67 – *Build Your Own YAML Parser* | | **Difficulty** | Intermediate | | **URL** | https://codingchallenges.fyi/challenges/challenge-yaml | | **Key Skills** | • Lexical analysis  <br>• Parsing  <br>• Data structures | | **Goal** | Write a program that reads a YAML document and converts it into native data structures (e.g., dictionaries/objects, ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-video-chat,Use the tools to read 076-challenge-video-chat.md and summarize the technologies involved.,read_file,read_file,,WebRTC,,True,"**Summary of Technologies for the “Build Your Own Video Chat Application” challenge (ID 076)**    | Category | Technologies / Concepts | |----------|--------------------------| | **Core real‑time communication** | **WebRTC** – the browser‑native API that handles peer‑to‑peer media (audio/video) and data channels. | | **Signalling** | Any transport used to exchange SDP offers/answers and ICE candidates between peers (e.g., **WebSocket**, **Socket.io**, **Server‑Sent Events**, or a simple REST + l",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
