id,user_prompt,expected_tool_calls,actual_tool_calls,missing_tool_calls,expected_final_contains,missing_final_substrings,passed,final_response_preview,dataset,provider,model
search-concepts-compression,I want a challenge about Huffman coding and file compression. Search the challenge data before answering.,search_challenges,search_challenges;read_file,,compression,,True,Here’s a challenge that matches what you’re looking for:  ---  ### **Build Your Own Compression Tool** - **Difficulty:** Intermediate   - **URL:** <https://codingchallenges.fyi/challenges/challenge-huffman>   - **Skills Required:**     - Data structures     - Algorithms     - Binary I/O     - Huffman coding    **Description**   Create a command‑line tool that can **compress** and **decompress** files using the Huffman coding algorithm. You’ll need to implement:  1. Frequency analysis of input by,evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-concepts-recursive-dns,Find the challenge where I implement recursive DNS lookups over UDP. Use the available search tool first.,search_challenges,search_challenges;read_file,,DNS,,True,"The challenge you’re looking for is **“Build Your Own DNS Resolver.”** It focuses on implementing recursive DNS lookups over UDP.    - **ID:** 22   - **Title:** Build Your Own DNS Resolver   - **URL:** https://codingchallenges.fyi/challenges/challenge-dns-resolver   - **Difficulty:** Intermediate   - **Key Skills:** DNS protocol, network programming, UDP sockets, binary data parsing, protocol implementation    This challenge asks you to craft UDP packets and perform recursive resolution to trans",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-concepts-bloom-spellcheck,Which Coding Challenge teaches a probabilistic data structure for fast spell checking? Use a tool to look it up.,search_challenges,search_challenges,,Bloom,,True,"The challenge you’re looking for is **“Build Your Own Spell Checker Using A Bloom Filter.”**    - **Challenge ID:** 53   - **Title:** *Build Your Own Spell Checker Using A Bloom Filter*   - **Core concept:** It introduces a **Bloom filter**, a probabilistic data structure that provides fast, memory‑efficient membership testing—perfect for implementing a high‑speed spell‑checking service.    This challenge covers the necessary topics such as hash functions, probability, and memory‑efficient algor",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-alias-container-runtime,"Search for the challenge about namespaces, cgroups, chroot, and pulling images from Docker Hub.",search_challenges,search_challenges;read_file,,Docker,,True,"The challenge you’re looking for is **“Build Your Own Docker.”**    - **ID:** 52   - **Title:** Build Your Own Docker   - **URL:** https://codingchallenges.fyi/challenges/challenge-docker   - **Difficulty:** Intermediate   - **Key Skills:** Linux namespaces, cgroups, system calls, container fundamentals, Docker Registry API    **Description:**   Create a lightweight Docker‑clone that utilizes Linux namespaces, cgroups, and `chroot` to run isolated containers, and implement functionality to pull ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-redis-server,"There seem to be Redis-related challenges. Use search and tell me which one is about building the server itself, not the CLI client.",search_challenges,search_challenges,,Redis Server,,True,"Here are the Redis‑related challenges that the index contains:  | # | Challenge (title) | What it focuses on | |---|-------------------|--------------------| | **008 – Build Your Own Redis Server** | *Build Your Own Redis Server* | Implements the **Redis server** itself – networking, protocol handling, concurrency, data structures, persistence, etc. | | 037 – Build Your Own Redis CLI Tool | *Build Your Own Redis CLI Tool* | Implements a **client/CLI** that talks to an existing Redis server. |  S",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-dns-forwarder-vs-resolver,"Use the search tool to distinguish the DNS resolver challenge from the DNS forwarder challenge, and tell me which one recursively resolves names.",search_challenges,search_challenges;read_file;read_file,,resolver,,True,"**DNS Resolver** – *Challenge 22*   - Description: “Build a DNS resolver that translates domain names into IP addresses by implementing the DNS protocol, crafting UDP packets, and **performing recursive resolution**.”   - It is explicitly meant to **recursively resolve** names.  **DNS Forwarder** – *Challenge 44*   - Description: “Build a DNS forwarder that receives DNS queries and forwards them to upstream DNS servers.”   - It simply forwards queries; it does **not** perform recursion itself.  ",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-json-jq,I do not want jq; I want the challenge about parsing JSON from scratch. Search the challenge files before replying.,search_challenges,search_challenges;read_file,,JSON Parser,,True,"Here’s the challenge you’re looking for:  ---  ### **Build Your Own JSON Parser** - **Difficulty:** intermediate   - **URL:** https://codingchallenges.fyi/challenges/challenge-json-parser   - **Skills:** lexical analysis, syntactic parsing, abstract syntax trees, test‑driven development    #### Description > Build a JSON parser from scratch, learning the fundamentals of lexical analysis and syntactic parsing that underpin compilers and data format processors.  This challenge walks you through cr",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-cut,Read 004-challenge-cut.md with the tool and summarize what the cut clone needs to support.,read_file,read_file;read_file,,cut,,True,"**Challenge #4 – “Build Your Own cut Tool” – Summary**  The challenge asks you to create a clone of the Unix **`cut`** command.  At a minimum, your implementation must be able to:  1. **Read input from a file (or standard input).**   2. **Extract specified portions of each line** – the same kinds of selections that the real `cut` supports:    * **Byte‑ or character‑range selections** (e.g., `-b 1‑5,10‑`).    * **Field selections** based on a delimiter (e.g., `-f 2,4‑6 -d ','`). 3. **Print the ex",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-load-balancer,Use read_file on 005-challenge-load-balancer.md and tell me the main behavior I need to implement.,read_file,read_file,,load balancer,,True,"The challenge asks you to implement a **Layer 7 (HTTP) load balancer** that:  1. **Accepts incoming HTTP requests** from clients.   2. **Distributes those requests to a pool of backend servers** using a **round‑robin** scheduling algorithm.   3. **Performs health‑checking** of each backend (e.g., periodic ping or HTTP health‑check endpoint) and **excludes any unhealthy backends** from the rotation until they recover.   4. **Handles concurrency** so multiple client connections can be served simul",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-git,Open 026-challenge-git.md using the available file-reading tool and summarize the core Git features required.,read_file,read_file,,git,,True,"**Challenge 26 – “Build Your Own Git” – Core Git features to implement**  | Feature | What the challenge expects you to support | |---------|-------------------------------------------| | **Repository initialization** | Create a `.git` directory, set up the basic folder structure (`objects`, `refs`, `HEAD`, etc.) and write the initial configuration files. | | **Staging area (index)** | Implement an index file that tracks which files are staged, stores file paths, timestamps and blob SHA‑1 hashes",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
