id,user_prompt,expected_tool_calls,actual_tool_calls,missing_tool_calls,expected_final_contains,missing_final_substrings,passed,final_response_preview,dataset,provider,model
search-concepts-compression,I want a challenge about Huffman coding and file compression. Search the challenge data before answering.,search_challenges,search_challenges;read_file,,compression,,True,"Here’s the **“Build Your Own Compression Tool”** challenge, which focuses on Huffman coding and file compression:  ---   **Title:** Build Your Own Compression Tool   **Difficulty:** Intermediate   **URL:** https://codingchallenges.fyi/challenges/challenge-huffman    **Skills Required:**   - Data structures   - Algorithms   - Binary I/O   - Huffman coding    **Description:**   Create a command‑line tool that can **compress** and **decompress** files using the Huffman coding algorithm. You’ll need",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-concepts-recursive-dns,Find the challenge where I implement recursive DNS lookups over UDP. Use the available search tool first.,search_challenges,search_challenges;read_file,,DNS,,True,"The challenge you’re looking for is **“Build Your Own DNS Resolver.”** It involves implementing recursive DNS lookups over UDP, handling binary packet construction/parsing, and performing full recursive resolution.    **Key details**  - **File:** `022-challenge-dns-resolver.md`   - **Difficulty:** intermediate   - **Core skills:** DNS protocol, network programming, UDP sockets, binary data parsing, protocol implementation   - **Goal:** Translate domain names to IP addresses by crafting UDP packe",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-concepts-bloom-spellcheck,Which Coding Challenge teaches a probabilistic data structure for fast spell checking? Use a tool to look it up.,search_challenges,read_file,search_challenges,Bloom,,False,"The challenge you’re looking for is **“Build Your Own Spell Checker Using A Bloom Filter.”** It teaches how to use a Bloom filter—a probabilistic data structure that provides fast, memory‑efficient set‑membership testing—for spell‑checking.",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-alias-container-runtime,"Search for the challenge about namespaces, cgroups, chroot, and pulling images from Docker Hub.",search_challenges,search_challenges,,Docker,,True,"Here’s the challenge you’re looking for:  **Build Your Own Docker**   *Challenge ID:* 052   *Difficulty:* Intermediate    ### What the challenge covers - **Linux namespaces** – isolate process views of the system (PID, network, mount, etc.). - **cgroups** – control and limit resource usage (CPU, memory, blk‑io, …). - **chroot** – change the apparent root directory for a process. - **Docker Registry API** – interact with Docker Hub (pull images, list tags, download layers). - **System calls & con",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-redis-server,"There seem to be Redis-related challenges. Use search and tell me which one is about building the server itself, not the CLI client.",search_challenges,search_challenges,,Redis Server,,True,"Here are the two Redis‑related challenges that show up in the index:  | # | Challenge (file) | Focus | |---|------------------|-------| | **008** | `008-challenge-redis.md` | **Build Your Own Redis Server** – implementing the server side (network protocol, data structures, concurrency, persistence, etc.). | | 037 | `037-challenge-redis-cli.md` | Build Your Own Redis CLI Tool – implementing a client that talks to an existing Redis server. |  **The challenge you’re looking for is the one about bui",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-dns-forwarder-vs-resolver,"Use the search tool to distinguish the DNS resolver challenge from the DNS forwarder challenge, and tell me which one recursively resolves names.",search_challenges,search_challenges;read_file;read_file,,resolver,,True,"**DNS Resolver (challenge 022)** – The description says the project must *“perform recursive resolution.”* That means the program itself follows the DNS hierarchy (root → TLD → authoritative servers) to resolve a name.  **DNS Forwarder (challenge 044)** – The description says the project *“receives DNS queries and forwards them to upstream DNS servers.”* A forwarder simply passes the query on; it relies on the upstream server to do the actual recursion.  **So, the DNS resolver challenge is the o",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
search-ambiguous-json-jq,I do not want jq; I want the challenge about parsing JSON from scratch. Search the challenge files before replying.,search_challenges,search_challenges;read_file,,JSON Parser,,True,"Here’s the **“Build Your Own JSON Parser”** challenge you asked for:  - **Title:** Build Your Own JSON Parser   - **Difficulty:** Intermediate   - **URL:** https://codingchallenges.fyi/challenges/challenge-json-parser   - **Skills:** lexical analysis, syntactic parsing, abstract syntax trees, test‑driven development    **Description:**   Build a JSON parser from scratch, learning the fundamentals of lexical analysis and syntactic parsing that underpin compilers and data‑format processors.",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-cut,Read 004-challenge-cut.md with the tool and summarize what the cut clone needs to support.,read_file,read_file,,cut,,True,"**Summary – Features a “cut” clone must support**  The challenge description (the “cut” tool) expects you to re‑implement the core behaviour of the Unix **`cut`** command. At a minimum, your implementation should be able to:  | Feature | What it does | Typical flag(s) | |---------|---------------|-----------------| | **Field selection** | Extract one or more delimited fields from each input line. | `-f <list>` (e.g. `-f 1,3‑5`) | | **Delimiter specification** | Define the character that separate",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-load-balancer,Use read_file on 005-challenge-load-balancer.md and tell me the main behavior I need to implement.,read_file,read_file,,load balancer,,True,"The core behavior you need to implement for the **Load Balancer** challenge is:  - **Layer‑7 HTTP proxy** – accept incoming HTTP requests, forward them to a backend server, then return the backend’s response to the client.   - **Round‑robin request distribution** – each new request should be sent to the next backend in a circular list so the load is spread evenly.   - **Health‑checking** – periodically probe each backend (e.g., a simple HTTP GET or HEAD) and mark a server as unhealthy if it fail",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
read-exact-git,Open 026-challenge-git.md using the available file-reading tool and summarize the core Git features required.,read_file,read_file,,git,,True,"**Core Git features you’ll need to implement**  1. **Repository initialization**    * Create a `.git` directory with the required internal sub‑folders (`objects`, `refs`, `heads`, `index`, etc.).    * Write the initial configuration files (`config`, `HEAD`, etc.) so the repo can be recognized by Git commands.  2. **Staging (the index)**    * Maintain an index file that records the paths, file modes and SHA‑1 hashes of files that are staged.    * Implement `git add`‑style logic: read a file, hash",evals/tool_call/datasets/tool_call_v2.json,openai,openai/gpt-oss-120b:free
